,fittedResiduals
0,-0.6335001911178826
1,-0.24800154288131981
2,-0.3336036132485036
3,-0.05166709684248971
4,-0.1363779947096171
5,-0.16002078234868722
6,-0.0628672885941981
7,0.15860592312691302
8,0.1066974727287795
9,-0.43965667199769287
10,0.07562175792747294
11,0.01341504592303111
12,0.09052543313057448
13,-0.3252295658076667
14,-0.15337175101682332
15,0.11786473389625773
16,-0.5497839145961372
17,-0.26342339780635804
18,0.3195410871914124
19,0.09929299720769902
20,-0.4747506085137241
21,-0.7221771941296415
22,-0.37334184762948297
23,-0.4242860354890414
24,-0.10264204446323788
25,-0.17571668486854986
26,-0.06375736615174699
27,0.18291019935799113
28,-0.45226482079878494
29,-0.016415861924186537
30,-0.12793746065013156
31,0.13471915530828227
32,-0.007365866643430863
33,-0.13266713771545646
34,-0.1585912341387301
35,-0.24162721022548528
36,-0.06412975421407552
37,-0.6003451686891577
38,-0.10636477647384623
39,-0.3422847478049178
40,-0.46575879575879675
41,0.09105476466908868
42,-0.16830016967190708
43,-0.23636935152337557
44,-0.2908106098465133
45,-0.1719931158231489
46,-0.3167326429424282
47,-0.05246428199181352
48,0.011809367207062493
49,-0.3641889260285023
50,0.1781475078658179
51,-0.0944389191184456
52,-0.346121378102211
53,0.36556432323417987
54,0.047664103741143826
55,-0.050576875818658884
56,0.009130021100039798
57,0.03149984069818501
58,-0.10794605588176598
59,0.09732482611741844
60,0.2579628156769489
61,0.013274848146366036
62,-0.10589833915308589
63,-0.11744944708881411
64,-0.018889548384746213
65,-0.18362741178513797
66,-0.3506529561009719
67,0.04114707947438401
68,-0.1112813197481195
69,-0.18446242282683034
70,0.28583730238920735
71,0.24944254268821053
72,-0.37202502540273485
73,0.20154665369245484
74,-0.2312642719305753
75,-0.3655632057814264
76,-0.42982247503904425
77,-0.429983969198906
78,-0.30076836017777
79,-0.5261785490694173
80,-0.4860854921342117
81,-0.33791676555344097
82,-0.23256734120463562
83,0.43724420395578534
84,0.08333338929789491
85,-0.2923518676756167
86,-0.41131704468540065
87,-0.12137355496825109
88,-0.6575977151183281
89,-0.20022031618039549
90,-0.17747395236620633
91,-0.18623049435824512
92,-0.18015842235015
93,-0.16615404581733628
94,-0.17837659520121818
95,-0.1776724729177701
96,-0.16790330529885011
97,-0.15149184328761223
98,-0.15482683739125847
99,-0.0719860921252149
100,-0.08819856186662633
101,-0.13981010444298292
102,0.09394555080201172
103,-0.23125858161202828
104,0.37765354618109903
105,0.5105837216556086
106,0.2991301792617831
107,0.5141007581650374
108,0.05243593668868907
109,-0.1098001117243097
110,-0.2514058008969915
111,-0.15225929216360345
112,0.28445773751848114
113,0.10612792961350026
114,0.17328672112839805
115,0.014630194809586827
116,-0.1543496093518486
117,-0.16054703564206063
118,-0.8406435352331201
119,0.4266742855470369
120,-0.561766153082738
121,-0.3837510749892754
122,-0.42272993686194127
123,-0.39335257406435176
124,-0.3365646352219791
125,-0.2377491474191089
126,-0.05265724311679776
127,0.2612351309228611
128,0.16118548743988548
129,-0.1945275602599743
130,0.17780413303544407
131,0.7487881602036905
132,0.31982817759809024
133,-0.47595813197211445
134,0.31509266237692213
135,0.034543753319612236
136,-0.9545534576094354
137,0.403876184597344
138,0.3617648863897873
139,-0.017347829685204985
140,0.1898108847916795
141,0.35674912219911387
142,0.036343634730710006
143,-0.13053637033095944
144,0.14274880242913146
145,0.023754843803444718
146,0.00755914553741515
147,0.006988828026350494
148,0.0014712006347836828
149,0.006495419761520398
150,0.01294963433617787
151,0.007184708621271162
