,fittedResiduals
0,-4.384384522104767e-07
1,-0.031402865753253906
2,-0.040712418445031595
3,0.05670323843486891
4,-0.04448616193585786
5,-0.01204778683834884
6,0.025338611882630424
7,0.10812621698651481
8,-0.00045242366301490033
9,-0.28352584745269205
10,0.23642523972234453
11,-0.05645938256278993
12,0.09606394391822515
13,-0.26445076742431617
14,0.06186739120066109
15,0.12938815102653844
16,-0.41999882321167803
17,0.10029223547150856
18,0.33455777399533404
19,-0.021253504688742764
20,-0.3456856305388216
21,-0.32914204012386516
22,0.0346609009534351
23,-0.1390373817714412
24,0.20469328169078604
25,-0.03038185266985227
26,0.13746476785898665
27,0.24350285580024078
28,-0.3857997365220065
29,0.2781594514999446
30,-0.10679132649692935
31,0.265106186486753
32,-0.044682361138344895
33,-0.04055574354577285
34,-0.05696415086589113
35,-0.11295805779544121
36,0.08263345974739256
37,-0.47328251929824283
38,0.2448789874672599
39,-0.26194194923303904
40,-0.1499671060111023
41,0.33252017711834725
42,-0.1330375353143669
43,-0.011888798146996393
44,-0.10423110890925535
45,0.050432912548290076
46,-0.14720733720792545
47,0.1841980664617271
48,0.09200045967746995
49,-0.23800227599078028
50,0.4120568309251986
51,-0.13725121388323558
52,-0.15555050551768623
53,0.5310870726578081
54,-0.09092145258034812
55,0.05156575644588912
56,0.04760696933595554
57,0.061935379469999496
58,-0.08335160301821531
59,0.17214778568770983
60,0.20645135406881154
61,-0.06490240467097386
62,-0.07073842982166623
63,-0.07015521502731392
64,0.03187526260620288
65,-0.16557218478572633
66,-0.2316204127251904
67,0.1934435232809948
68,-0.1311101608125611
69,-0.06741263562595101
70,0.3657533823446628
71,0.12815274653943876
72,-0.3957520184833898
73,0.3917735006903782
74,-0.3577092978063101
75,-0.17162242004282824
76,-0.28275432658663746
77,-0.21131715538415108
78,-0.09071170892318214
79,-0.34428419000656163
80,-0.1765747871618153
81,-0.07799736522193967
82,-0.006197169043655748
83,0.6153795500155823
84,-0.02375698254509473
85,-0.1518365398808097
86,-0.20623243917281542
87,0.1154098246935149
88,-0.5396350958473732
89,0.2008886923175197
90,-0.07328566311936413
91,0.025071715615453627
92,-0.009866347810671527
93,0.015879583759506488
94,-0.00901808491878242
95,-2.6381903012406838e-05
96,0.0044392404784936446
97,0.01674937603927873
98,0.005665772414637615
99,0.08913267013690174
100,0.03248815699737051
101,-0.0015515031711927918
102,0.24030640984076612
103,-0.1931504753624722
104,0.5855407120440379
105,0.3742486965951173
106,0.21213066852951012
107,0.46736500319744234
108,-0.12428528936879646
109,-0.05268846331650634
110,-0.21571881182529928
111,-0.03889805968144877
112,0.33075972462313263
113,-0.011820537261847175
114,0.18468191773712173
115,-0.061452997933444053
116,-0.13196910730525357
117,-0.10142613105574005
118,-0.7823453626441079
119,0.7957298288137702
120,-0.8450873616673054
121,0.014595464613337938
122,-0.35072494409222443
123,-0.15830389722657046
124,-0.16366009429133044
125,-0.05201352499810241
126,0.09348536859614498
127,0.34465407777947377
128,0.12422206414929526
129,-0.15771749213852715
130,0.3322565453905373
131,0.6948351501641277
132,0.07929031001775977
133,-0.4906033051854397
134,0.5521354214438601
135,-0.16266125020687916
136,-0.87333508906503
137,0.8184690538072132
138,0.07882558167545017
139,-0.02634204138706142
140,0.2234882982875881
141,0.28179410055628545
142,-0.08086358213720207
143,-0.10557236154131977
144,0.1857082779254845
145,-0.05676265515335121
146,0.022909771476273037
147,-0.009406606902737593
148,-0.002018665983122045
149,0.00040259042883436513
150,0.006012779146183301
151,-0.0022641607061394033
152,0.0007689199401784176
153,-0.00044090866770960836
154,-0.004655459298194137
155,0.006688287462179719
156,-0.002533605993244077
157,0.0006079885795060597
158,0.00029430105935678713
159,-0.0009226114974757171
160,0.0003680092664095861
161,-0.0001467907353570417
162,0.0005953657899870381
163,0.000433539565396694
164,-0.07089820292205906
165,0.09390525940439519
166,-0.03745672552310994
167,0.018564153157805064
168,-0.014786024551339691
169,-0.14293392544763672
170,0.0007818835033690519
171,-0.033325950575741725
172,-0.08856751577113453
173,-0.09229996306090893
174,0.19316355024819654
175,0.13123526113141226
176,0.038106360843921244
177,-0.10484775718020067
178,-0.016154490633404572
179,-0.08629098859065065
180,-0.08851089483580887
181,-0.0017351481194163298
182,0.00713388275680682
183,-0.12054206556236435
184,0.19114254666878505
185,-0.0181323836556766
186,0.17928156353314217
187,-0.06010413773167289
188,-0.08540168984324814
189,0.18316499005637576
190,-0.14083324803532538
191,0.04731782486292091
192,-0.1007381996998884
193,0.11976494212745248
194,0.004030992822714907
195,-0.022677831815588467
196,-0.022357947717520643
197,0.18512735754281992
198,-0.06122806332813977
199,0.02415410955091559
200,-0.01057396354226091
201,0.0040835160124107215
202,-0.004983912861481143
203,-0.011700790316315074
204,0.021845240847988827
205,-0.031125575854409004
206,0.03361946368971973
207,-0.012873244296024815
208,0.005940073002561571
209,-0.0011615313959870545
210,0.00046330911561195763
211,-0.00018480373182398828
212,7.371411039681934e-05
213,-2.9402923945116688e-05
214,1.1728174319249734e-05
215,-4.67810865067226e-06
216,1.8659937985040659e-06
217,-7.443035457407057e-07
218,2.9688617863912994e-07
219,-1.1842131287877989e-07
220,4.723563558335873e-08
221,-0.00013422239647266094
222,0.0001877418926475292
223,-7.488607759235402e-05
224,2.987039566974277e-05
225,-1.1914638423498984e-05
226,4.752485046808919e-06
227,-1.8956608935438826e-06
228,7.56137092051344e-07
229,-3.0160631784042635e-07
230,1.2030407173185384e-07
231,-0.00013425154185146707
232,0.00018775351809280388
233,-0.0014169262669759593
234,0.0011019946868853561
235,9.725297825665443e-05
236,-0.014801183131098142
237,-0.03569923840145095
238,-0.0018647920988921207
239,0.07039546937625663
240,-0.03358153740079077
241,0.003866478140344909
242,-0.04381637228265722
243,-0.04841656638865066
244,0.05192375856106746
245,-0.025676767366390685
246,0.08002774180871905
247,-0.17243241382425323
248,-0.45434599227312766
249,0.30134072261782263
250,-0.4655038792816839
251,0.36443830994039494
252,0.1171357940089508
253,0.18102056260305344
254,-0.5114533243424111
255,0.2652042102179868
256,-0.14161642750349213
257,0.08051008881505606
258,-0.29850774614967257
259,0.10886865000156742
260,-0.13589153975264967
261,0.3218060107805911
262,0.1174996318773518
263,0.12934127053940703
264,0.11669989372030498
265,0.028068177049749288
266,-0.3084566482058424
267,0.18718581599855488
268,0.04866879630319887
269,-0.004113698265131527
270,0.09867003343990677
271,-0.053851272186039356
272,0.09811030829685809
273,-0.04812566447477287
274,0.017183206990610905
275,-0.060535422301928876
276,0.07339894228371599
277,-0.043905397893541365
278,0.03979067973619932
279,9.860332748636708e-05
280,9.487287452899541e-05
281,-3.784268573837381e-05
282,-0.0334015906429197
283,-0.06800420067629509
284,0.13838011486281424
285,-0.07170379637890514
286,-0.07567510814561118
287,0.06574906459446861
288,0.03161588849374486
289,-0.016234372793832164
290,-0.12866744881947234
291,-0.0359097189056643
