t,p,Forecast,UpperBound,LowerBound
2000-12-29 04:00:00,5.902,3.492,6.0320556797475,0.951944320252498
2000-12-29 05:00:00,3.498,2.33,5.38744823351395,0
2000-12-29 06:00:00,2.336,4.325,8.20062086870036,0.449379131299646
2000-12-29 07:00:00,4.331,5.291,8.71535690249004,1.86664309750996
2000-12-29 08:00:00,5.297,1.584,5.2041713511723,0
2000-12-29 09:00:00,1.59,1.431,4.63496948837987,0
2000-12-29 10:00:00,1.437,2.031,6.69936903286639,0
2000-12-29 11:00:00,2.037,1.736,5.85085434749004,0
2000-12-29 12:00:00,1.742,0.570999999999999,4.18245336351592,0
2000-12-29 13:00:00,0.577,0.107999999999999,3.28762782898624,0
2000-12-29 14:00:00,0.114,0.00299999999999943,2.9883007013213,0
2000-12-29 15:00:00,0.009,0.00199999999999943,2.63515424122879,0
2000-12-29 16:00:00,0.008,0.00199999999999943,2.32553475595861,0
2000-12-29 17:00:00,0.008,0.00299999999999943,2.06290241035257,0
2000-12-29 18:00:00,0.009,0.146999999999999,1.9847319658746,0
2000-12-29 19:00:00,0.153,0.0849999999999994,1.73685499497069,0
2000-12-29 20:00:00,0.091,0,1.49881006242862,0
2000-12-29 21:00:00,0.001,0.168999999999999,1.54875527052573,0
2000-12-29 22:00:00,0.175,NA,NA,NA
