t,p,fittedValue,UpperBound,LowerBound
2000-11-29 07:00:00,6.961,3.53539084749847,4.45732959639605,2.61345209860089
2000-11-29 08:00:00,2.845,7.37737834494921,8.29647688707009,6.45827980282834
2000-11-29 09:00:00,1.278,1.68318810252918,2.5998189954851,0.766557209573262
2000-11-29 10:00:00,2.425,1.16693150620476,2.08152977101021,0.252333241399301
2000-11-29 11:00:00,2.666,2.62578945274561,3.53862259186979,1.71295631362142
2000-11-29 12:00:00,0.161,2.57062561218373,3.48192825927036,1.6593229650971
2000-11-29 13:00:00,0.833,-0.342542343774308,0.567459341375457,0
2000-11-29 14:00:00,0.736,1.11463453627091,2.02328267506596,0.205986397475858
2000-11-29 15:00:00,0.339,0.665066806650553,1.57247076633893,0
2000-11-29 16:00:00,1.224,0.30510736578514,1.21159136527289,0
2000-11-29 17:00:00,0.948,1.42187489806224,2.33829676888503,0.505453027239451
2000-11-29 18:00:00,4.107,0.84178653628499,1.75575392358664,0
2000-11-29 19:00:00,2.763,4.66543737798851,5.58210102342036,3.74877373255666
2000-11-29 20:00:00,4.13,2.21323881973718,3.13235738494444,1.29412025452992
2000-11-29 21:00:00,8.566,4.37581490194642,5.71616814766112,3.03546165623171
2000-11-29 22:00:00,7.498,9.05811270313786,10.3092092930997,7.80701611317606
2000-11-29 23:00:00,4.86,6.73014047586497,8.16740466741602,5.29287628431392
2000-11-30  00:00:00,8.079,4.18611640263965,5.51108690860975,2.86114589666955
2000-11-30 01:00:00,7.179,8.53306173147281,10.0640874069739,7.00203605597176
2000-11-30 02:00:00,6.228,6.47870594150823,7.90444343391384,5.05296844910262
2000-11-30 03:00:00,6.525,5.84199506435568,7.30968106970261,4.37430905900874
2000-11-30 04:00:00,7.988,6.33583030033645,8.22090466059856,4.45075594007434
2000-11-30 05:00:00,8.01,7.93068690573536,9.63591523318182,6.22545857828889
2000-11-30 06:00:00,9.827,7.58834188554603,9.13571848927508,6.04096528181698
2000-11-30 07:00:00,11.085,9.78964215371825,11.2035186556393,8.37576565179725
2000-11-30 08:00:00,10.074,10.7510260861847,12.1825593305324,9.31949284183699
2000-11-30 09:00:00,7.32,9.34829823786292,10.763925902956,7.93267057276983
2000-11-30 10:00:00,5.951,6.45526688129228,7.92136451994487,4.98916924263969
2000-11-30 11:00:00,6.524,5.5238616315728,7.01372404287562,4.03399922026999
2000-11-30 12:00:00,6.744,6.40807722545979,7.78958616543166,5.02656828548792
2000-11-30 13:00:00,7.271,6.46099384280113,7.7387834007376,5.18320428486466
2000-11-30 14:00:00,7.104,7.06433059271964,8.25860686768432,5.87005431775497
2000-11-30 15:00:00,3.82,6.73004003986185,7.85768074834246,5.60239933138124
2000-11-30 16:00:00,1.647,2.9713955029459,4.31808886140358,1.62470214448821
2000-11-30 17:00:00,4.538,1.3006552778671,2.69477449539926,0
2000-11-30 18:00:00,5.164,5.06296323204162,6.72618698385965,3.39973948022359
2000-11-30 19:00:00,4.628,4.92592624375826,6.44480647457533,3.4070460129412
2000-11-30 20:00:00,5.754,4.33148955732963,6.26010400466507,2.40287510999418
2000-11-30 21:00:00,2.6,5.78386046408433,7.8195046761466,3.74821625202205
2000-11-30 22:00:00,1.955,1.76475502553702,4.40233565736289,0
2000-11-30 23:00:00,2.55,1.93886016114282,4.42644876400654,0
2000-12-01 00:00:00,3.021,2.59365607915501,4.89868258103283,0.288629577277189
2000-12-01 01:00:00,2.516,2.99268917831949,5.92685252965156,0.0585258269874198
2000-12-01 02:00:00,3.2,2.31075350178173,4.9523275251789,0
2000-12-01 03:00:00,3.658,3.26705012409188,5.67160889820565,0.862491349978106
2000-12-01 04:00:00,2.832,3.58132227196368,5.71001539399656,1.4526291499308
2000-12-01 05:00:00,1.627,2.54401126109938,4.44123766168249,0.646784860516271
2000-12-01 06:00:00,2.132,1.37592133056314,3.09365719702456,0
2000-12-01 07:00:00,2.188,2.23533055020302,5.12545012296809,0
2000-12-01 08:00:00,2.67,2.10241588286289,4.64425933707594,0
2000-12-01 09:00:00,2.287,2.69607546531754,4.94592923696351,0.446221693671573
2000-12-01 10:00:00,2.633,2.11172509035448,4.23940202632436,0
2000-12-01 11:00:00,2.04,2.65071034351668,4.63999056893892,0.661430118094442
2000-12-01 12:00:00,2.607,1.83369218081397,3.77235473119417,0
2000-12-01 13:00:00,1.852,2.68450278085512,4.8818063440434,0.487199217666831
2000-12-01 14:00:00,3.263,1.60630562243322,3.80528213605183,0
2000-12-01 15:00:00,5.391,3.50319946082698,5.48506934009346,1.5213295815605
2000-12-01 16:00:00,4.71,5.55101073287156,7.36499984223093,3.73702162351218
2000-12-01 17:00:00,4.789,4.28301809143469,5.92479464103089,2.64124154183849
2000-12-01 18:00:00,5.941,4.66790377624518,6.46551064188785,2.8702969106025
2000-12-01 19:00:00,4.097,5.92464722849394,7.91008031830821,3.93921413867966
2000-12-01 20:00:00,3.551,3.48079663258231,5.36652615899248,1.59506710617213
2000-12-01 21:00:00,5.009,3.40701798604475,5.70774404154292,1.10629193054658
2000-12-01 22:00:00,6.913,5.127021475264,7.19994184229789,3.05410110823011
2000-12-01 23:00:00,5.551,6.95401615590624,8.80411844354437,5.1039138682681
2000-12-02 00:00:00,4.684,4.94155710475192,6.7287749620245,3.15433924747934
2000-12-02 01:00:00,8.433,4.3932917545868,6.09946916285691,2.68711434631669
2000-12-02 02:00:00,9.5,8.89873252944007,10.7009638097437,7.09650124913641
2000-12-02 03:00:00,8.646,9.10530263424536,10.7291460500604,7.48145921843037
