t,p,Forecast,UpperBound,LowerBound
2000-12-25 19:00:00,0.008,0.0584709268791096,0.908692399576721,0
2000-12-25 20:00:00,0.014,0.0583543322652256,0.905493721880856,0
2000-12-25 21:00:00,0.015,0.0652781378616158,0.909589545088578,0
2000-12-25 22:00:00,0.015,0.0647350665786179,0.90701155730689,0
2000-12-25 23:00:00,0.011,0.0647478580527618,0.905272909112286,0
2000-12-26 00:00:00,0,0.0599460324132323,0.899161370344034,0
2000-12-26 01:00:00,0,0.0480917918785356,0.886536258437952,0
2000-12-26 02:00:00,0.014,0.0506757963828487,0.887547071770043,0
2000-12-26 03:00:00,0.002,0.0663353494053394,0.901364023654156,0
2000-12-26 04:00:00,0.15,0.0486034995584091,0.883580234751711,0
2000-12-26 05:00:00,0.137,0.225403236761406,1.06372535270363,0
2000-12-26 06:00:00,0.241,0.169506488890877,1.00870159181242,0
2000-12-26 07:00:00,0.159,0.303705692749861,1.14186189119545,0
2000-12-26 08:00:00,1.136,0.177030707229934,1.02316293315871,0
2000-12-26 09:00:00,1.491,1.34715384637913,2.6068099505913,0.0874977421669678
2000-12-26 10:00:00,0.676,1.49305492345614,2.6684066309589,0.317703215953383
2000-12-26 11:00:00,0.426,0.508041800975511,1.86597137511399,0
2000-12-26 12:00:00,1.349,0.442381063927549,1.69198797712112,0
2000-12-26 13:00:00,1.278,1.53512977103199,2.99327860654514,0.0769809355188364
2000-12-26 14:00:00,0.553,1.20123016433493,2.55413445707441,0
2000-12-26 15:00:00,1.762,0.43148354040692,1.82615314893768,0
2000-12-26 16:00:00,1.846,2.01955291796066,3.84091277982389,0.198193056097426
2000-12-26 17:00:00,1.675,1.75326489013164,3.39369911800028,0.112830662262996
2000-12-26 18:00:00,1.713,1.61476531039259,3.09733441097178,0.132196209813411
2000-12-26 19:00:00,2.335,1.69088599671487,3.04400801794481,0.33776397548493
2000-12-26 20:00:00,1.947,2.39940491696573,3.79250137700845,1.00630845692302
2000-12-26 21:00:00,1.159,1.78408757279837,3.13428200625457,0.433893139342183
2000-12-26 22:00:00,0.378,1.00546973475484,2.38802588640633,0
2000-12-26 23:00:00,0.042,0.272501362696346,1.67984914909074,0
2000-12-27 00:00:00,0.015,0.0484810610000653,1.35551823427143,0
2000-12-27 01:00:00,0.016,0.0682968579505341,1.27417784800164,0
2000-12-27 02:00:00,0.014,0.0648354816953532,1.18934852744772,0
2000-12-27 03:00:00,0.846,0.0632082318004438,1.12227400817697,0
2000-12-27 04:00:00,1.661,1.03499945415486,2.29837721276758,0
2000-12-27 05:00:00,0.726,1.76330672946355,3.08300421962128,0.443609239305823
2000-12-27 06:00:00,0.685,0.504457736295098,2.08641194994096,0
2000-12-27 07:00:00,2.105,0.745640707372975,2.18819298590258,0
2000-12-27 08:00:00,3.498,2.34812521356897,4.21683672933897,0.47941369779897
2000-12-27 09:00:00,1.784,3.60630267330176,5.61908539872707,1.59351994787644
2000-12-27 10:00:00,2.267,1.31620627300314,3.84141284792646,0
2000-12-27 11:00:00,1.781,2.40564822507416,4.81808054341887,0
2000-12-27 12:00:00,3.772,1.5886356352422,3.80512829677246,0
2000-12-27 13:00:00,3.654,4.09928884478464,6.99746904605932,1.20110864350997
2000-12-27 14:00:00,2.908,3.3861076872265,5.96818017319739,0.804035201255601
2000-12-27 15:00:00,2.751,2.6790950270521,5.00212116631538,0.356068887788818
2000-12-27 16:00:00,2.683,2.65792215283416,4.71442868038884,0.601415625279477
2000-12-27 17:00:00,2.912,2.58343480317743,4.41313081142672,0.753738794928149
2000-12-27 18:00:00,5.455,2.86763646025311,4.53722770162449,1.19804521888172
2000-12-27 19:00:00,5.93,5.77103298889326,8.70771411361887,2.83435186416766
2000-12-27 20:00:00,6.045,5.65924122380091,8.24346854375777,3.07501390384405
2000-12-27 21:00:00,5.342,5.81923108550159,8.12863916068252,3.50982301032065
2000-12-27 22:00:00,5.805,4.96199936961868,7.05894866747832,2.86505007175905
2000-12-27 23:00:00,5.168,5.69918939600369,7.73658166036279,3.66179713164459
2000-12-28 00:00:00,3.632,4.78671088619248,6.67332938153703,2.90009239084794
2000-12-28 01:00:00,2.327,3.20308011080338,5.23075581276265,1.17540440884412
2000-12-28 02:00:00,2.454,2.04319526535868,4.04056876851012,0.0458217622072339
2000-12-28 03:00:00,2.153,2.45774948178242,4.28262562459897,0.632873338965869
2000-12-28 04:00:00,2.243,2.01114655506728,3.67310441665689,0.349188693477669
2000-12-28 05:00:00,3.315,2.21874984845506,3.73453728974864,0.702962407161487
2000-12-28 06:00:00,4.712,3.42263387640747,5.16584145515792,1.67942629765702
2000-12-28 07:00:00,5.608,4.77726510009323,6.78524382964218,2.76928637054428
2000-12-28 08:00:00,4.157,5.51218959439069,7.47589039395597,3.54848879482541
2000-12-28 09:00:00,3.454,3.64873884145151,5.84258565356271,1.4548920293403
2000-12-28 10:00:00,3.421,3.25638855833797,5.21220246076223,1.3005746559137
2000-12-28 11:00:00,4.103,3.30807821044773,5.06089642893977,1.55525999195569
2000-12-28 12:00:00,3.682,4.09266522731986,5.84767863904249,2.33765181559722
2000-12-28 13:00:00,4.51,3.42051283831515,5.04724565130711,1.79378002532319
2000-12-28 14:00:00,4.732,4.54194071144964,6.35469326619172,2.72918815670757
2000-12-28 15:00:00,2.687,4.54351844246332,6.17924703233359,2.90778985259306
2000-12-28 16:00:00,0.949,2.15499366708969,4.48963684980028,0
2000-12-28 17:00:00,1.761,0.674858125895539,3.05131269353012,0
2000-12-28 18:00:00,4.491,1.96380831674633,4.31685729654395,0
